Country;GDP per capita (USD);Life satisfaction
Afghanistan;19.705.602;1.859
Albania;11.052.794;5.133.704
Argentina;24.647.629;6.242.357
Australia;48116.03;7.284
Bahrain;44157.48;5.567.952
Benin;29.614.404;5.956
Bolivia;8.202.544;5.823
Bosnia and Herzegovina;13.194.331;5.182
Botswana;15.654.682;3.766
Brazil;14.451.153;6.635
Chile;24.531.357;6.652
China;13.399.138;5.273
Colombia;14.194.516;6.357
Costa Rica;19.736.666;7.079
Croatia;25.944.258;5.293
Cyprus;36509.07;5.621
Ecuador;11.551.616;6.008
Egypt;10.795.809;4.735
El Salvador;8309.9;6.003
Germany;51879.67;6.951
Ghana;4.837.538;4.12
Guatemala;8.206.048;6.454
Guinea;22.534.778;3.507
Haiti;3.116.488;3.603
Honduras;53.956.147;5.181
Hong Kong;58096.3;5.472
India;5.851.395;4.315
Iran;14.205.212;4.692
Iraq;10.997.387;4.497
Israel;38.214.484;7.213
Italy;40837.74;5.964
Jamaica;9.553.097;5.311
Japan;40754.1;5.92
Kazakhstan;24.210.863;5.819
Kenya;41.456.406;4.553
Kosovo;10.031.044;5.279
Latvia;27.509.174;5.85
Lithuania;31.925.803;5.902
Malawi;14.537.773;3.97
Mexico;19.539.262;6.578
